ORG;Oco
Associação de Psicologia de o UMinho;1
Escola;1
Escola de Direito;1
Agência de Avaliação e acreditação de o Ensino Superior;1
A3ES;1
Grupo de Investigação em Perturbações Alimentares de o UMinho;1
Sociedade Internacional de Investigação em Perturbações Alimentares;1
Sociedade para a Investigação em psicoterapia;1
Associação Americana de Psicologia;1
Associação de o Psicólogos Portugueses;1
IT;1
Bon Jovi;1
Rammstein;1
Sporting;1
Núcleo de Informática de Guimarães;1
IBM;1
Departamento de Matemática para a Ciência e Tecnologia;1
Associação Industrial de o Minho;1
Associação Portuguesa de Fundição;1
Departamento de I&DT;1
AGROGAS**;1
BIOMASUD;1
Sustentabilidade de Recursos;1
OiLCA** - melhoria;1
Intercâmbio;1
fibrenamics;1
IKEA;1
Siderurgia Nacional;1
Infraestruturas de Portugal;1
REFER;1
Resinorte;1
Cimpor;1
Secil;1
Bosch Portugal;1
Grupo Amorim;1
Sonae Indústria;1
PSA Peugeot Citroen Portugal;1
Toyota Caetano Portugal;1
Lipor;1
Unidade de o Universidade de o Nações Unidas;1
Unidade Operacional em Governação Electrónica de o Universidade de o Nações Unidas;1
Unidade;1
Ivy League;1
Departamento de Informática de o Escola de Engenharia de o UMinho;1
Portugal Telecom;1
Fundação Luso-Americana para o Desenvolvimento;1
Investigadora de o HASLab;1
INESC TEC;1
Unidade Operacional em Governação Eletrónica;1
Centro de Biologia Molecular e Ambiental;1
Universidade de Huddersfield;1
Nature Communications;1
UP;1
Universidade de Leeds;1
British Academy;1
IPATIMUP;1
**Departamento de Matemática e Aplicações**  de o UMinho;1
Universidade de Stanford;1
NASA;1
Yahoo;1
Altavista;1
Stanford;1
Benelux;1
