ORG;Oco
Unidade de Psicologia de o Desporto;3
Departamento de Psicologia;3
Bolsa de Emprego;3
Festival Internacional de Coros de S. Lourenço;3
Residência de o Combatentes;3
CGD;3
RIAPA;3
Departamento Pedagógico?;3
Gabinete de Sistemas de Informação de o Universidade de o Minho;3
Administração Pública;3
Licenciatura em Línguas e Culturas Orientais;3
Vice-Presidente de o Departamento Desportivo de o AAUMinho;3
Certificação de Qualidade;3
Campi?;3
Agência;3
Programa de Acção;3
Associação de estudante;3
Assessoria Jurídica;3
Engenharia Eletrónica;2
IPDJ;2
Mesa de o Reunião Geral de Alunos;2
RGA?;2
Engenharia e Gestão de Sistemas de Informação;2
Comunidade de o Países de Língua Portuguesa;2
Materiais;2
Optometria e Ciências de o Visão;2
Covid-19;2
Renascença;2
Associativismo Estudantil;2
Conselho de Escolas Médicas Portuguesas;2
Escola de Psicologia de o Universidade de o Minho;2
Ministra de o Ciência, Tecnologia e Ensino Superior;2
Instituto Universitário de Évora;2
Instituto Politécnico de Leiria;2
Centro de Estudos Humanísticos de o Universidade de o Minho;2
Programa de Apoio Informático;2
Mérito Desportivo;2
Instituto de Design de Guimarães;2
Celeste Pereira;2
Letras;2
Delegação de Braga de o Cruz Vermelha Portuguesa;2
UMinho Editora;2
Escola de Arquitetura de o Universidade de o Minho;2
Universidade Portas Abertas;2
UPA;2
Engenharia Electrónica;2
fibrenamics;2
IPB;2
Comissão Instaladora de o Universidade;2
Assembleia Geral;2
Associação de Estudantes de Direito de o Universidade de o Minho;2
Conselho Nacional de Estudantes de Direito;2
Afonsino;2
EAOO;2
Línguas Aplicadas;2
Lusa;2
IRS;2
Departamento de Geografia;2
Provedor de o Estudante de o Universidade de o Minho;2
GNR;2
Associações Académicas Portuguesas;2
Comissão de Trabalhadores de o UMinho;2
Escola de Engenharia de o UMinho;2
Departamento de Eletrónica Industrial;2
Comissão de Trabalhadores;2
Cortejo Académico de o Universidade de o Minho;2
EC’s;2
De o Weasel;2
Escola de Medicina de o UMinho;2
Erasmus Student Network Minho;2
Línguas e Literaturas Europeias;2
Combatentes;2
Tuna Feminina de Engenharia de o Universidade de o Minho;2
Spotify;2
Tuna Mista;2
União Soviética;2
Associação de Psicologia de o Universidade de o Minho;2
ACE;2
Núcleo de Estudantes de Marketing;2
Alfredo Sanzol;2
Livia> *;2
IA</area;2
o Beatles;2
British Council;2
o’Casey;2
PIDE;2
Brigadas Vermelhas;2
Centros de Informática;2
Companhia de  Jesus;2
Licenciatura em Filosofia;2
Comissão Pedagógico;2
Relações  Internacionais;2
Unidade Científico Pedagógica de o Ciências Sociais;2
Unidade de o Ciência Sociais;2
Unidade de o Ciências Sociais;2
Escola de Economia e;2
Cursos de Ciências;2
Produção Têxtil;2
Electrónica  Industrial;2
psicologia;2
Sistemas;2
Comissão   directiva de o Centro de Informática;2
Banco de Portugal;2
Concorri;2
Exército;2
IAP;2
Orlando;2
Paulo;2
Departamento de Matemática;2
IMAC;2
Club Naval;2
Regimento de Infantaria;2
Associação  Académica;2
Ordem de o Engenheiros;2
Centro Clínico Académico;2
Troika;2
CNJ;2
Conselho Nacional de o Desporto;2
Infraestrutura;2
escola e Institutos;2
SRI;2
Agência UM;2
Ambiente;2
Economia e de o;2
Federação Internacional de Desporto Universitário;2
Departamento Financeiro;2
Coordenador Técnico Desportivo;2
CGS;2
Agência Canadiana;2
Universitário;2
Nações Unidas;2
Direção de o AAUM?;2
associação?;2
Campeonatos Nacionais Universitários Individuais Concentrados;2
Gabinete de o Voluntário;2
Spin-Off Académico de o Universidade de o Minho;2
Certificação de o Qualidade;2
ASE;2
Comissão de curso;2
Wannabe;2
Medicina de o Trabalho;2
Licenciatura em Ciências de o Computação;2
Setor de Apoio clínico;2
Escola de Engenharia de o Universidade de o Minho;2
Departamento de Engenharia Têxtil;2
MIT Portugal;2
Europeia de Desporto Universitário;2
OCV;2
Departamento de Física;2
Institutos Politécnicos;2
LEB;2
IPSS’s de Braga;2
andebol;2
Licenciatura em Economia?;2
Óquei;2
Conselho Cultural?;2
Academia de Música de Viana de o Castelo;2
Serviço;2
Jethro Tull;2
SpinPark;2
B.A.;2
Campeão Europeu Universitário;2
Europeu de Sub-21;2
CTT;2
Europeus Universitários;2
SIC;2
Conselho de Ministros;2
BETWEIEN;2
Grupo?;2
INEF;2
Gestão Técnica e Desportiva;2
Departamento Desportivo e Cultural de o SASUM;2
Centros;2
CCP;2
Ensino e Investigação;2
Departamento de Eng;2
Material;2
IPC;2
I3N;2
CF;2
Sector de Contabilidade e Gestão de Stocks de o SASUM;2
Universidade Lusíada;2
CADAP;2
DGO;2
Direcção Geral de o Orçamento;2
ANCP;2
Comissão Diretiva de o Curso;2
UC;2
Soluções e Inovação;2
comité;2
Atividades Económicas e Cooperação;2
Cidade?;2
UNESCO;2
Administrador de o Serviços de Acção Social de o Universidade de o Minho;2
NP EN ISO;2
Associação de Estudantes;2
Biotério;2
UNorte?;2
consórcio;2
UNorte.pt;2
Consórcio;2
Gestão de empresa;2
Licenciatura em Economia de o UMinho;2
Opum Dei;2
Queen;2
Clube;2
Ingressei;2
Campeão Nacional Universitário;2
Academia de Ginástica;2
Unesco;2
Universidade de o Nações Unidas;2
Licenciatura em Biologia Aplicada;2
Unidade de Arqueologia;2
Licenciatura em Gestão;2
Licenciatura em Relações Internacionais;2
Licenciatura em Relações Internacionais?;2
Europeu Universitário de Basquetebol;2
Federação Internacional de Pentatlo Moderno;2
Plano Estratégico;2
Plano Estratégico de o UMinho;2
Conselho de Escola;2
Associação Portuguesa de Gestão de Desporto;2
Academia de Ginástica Desportiva;2
Autarquia?;2
Gabinete de o Provedor;2
Casas de o Conhecimento;2
Saúde e Bem-estar;2
Carta Desportiva de Braga;2
CMB;2
Departamento de Engenharia Mecânica;2
Comunidade Académica?;2
América Latina;2
Licenciatura em Estatística Aplicada;2
NEEUM;2
Licenciatura em Estatística Aplicada?;2
Eventos;2
FC de Gaia;2
Escola como âncora;2
FC Gaia;2
Comité Executivo de o Federação Internacional de Desporto Universitário;2
Comité Executivo de o UEFA;2
Comité de futsal;2
Gorkas;2
Informática de Gestão;2
Unidades Orgânicas de Ensino e de Investigação;2
Estatuto;2
Parlamento Europeu;2
Departamento de Filosofia;2
Instituição de Ensino Superior;2
SNS;2
Transferência de Tecnologia;2
Conselho Nacional de o Juventude;2
Unidades de Serviços;2
Europeu Universitário de Futsal;2
Academia Bosch-UMinho;2
ODS;2
Plano Estratégico de Sustentabilidade;2
Assuntos Estudantis e Inovação Pedagógica;2
Academia de o Minho;2
Departamento de Engenharia Têxtil de o Escola de Engenharia de o UMinho;2
Comunidade;2
COVID;2
Assembleias de Delegados;2
Comissão Pedagógica de o senado;2
Comissão Externa de Acompanhamento;2
Gatuna?;2
Departamento de Ciências de o Comunicação de o Instituto de Ciências Sociais de o Universidade de o Minho;2
Setor de o Tesouraria;2
Serviços de Acção Social de o UMinho;2
Juniores;2
Federação Internacional de o Desporto Universitário;2
Literatuna;2
Comissão de Ética de o UMinho;2
Bandeira de o Ética;2
contabilidade;2
provedora de o estudante;2
Provedor de o Estudante?;2
aAUMinho?;2
Aliança;2
Comissão Organizadora;2
Comissão Executiva;2
@uminhosports;2
Divisão Alimentar;2
CVP;2
Creche;2
Órgãos de Representação Estudantil de o Academia;2
SIS;2
OPUM DEI?;2
Divisão de Fiscalização;2
Manutenção e Segurança;2
Grupo de Fados;2
Orquestra de Cordofones Tradicionais de Braga;2
VSC;2
Complexo Desportivo Universitário;2
Católicas;2
Swásthya;2
RUM?;2
Label;2
Comissões de Praxe;2
Sistema de Informação;2
Universidades Portuguesas;2
Investigação?;2
Química;2
Assembleia;2
U.M.?;2
Hóquei;2
vitória de Guimarães;2
Quinas;2
Universidades?;2
Tuna?;2
Grupos;2
Licenciatura em Engenharia;2
European Law Students Association;2
Actividades Académicas;2
Académicas;2
Comissão de Residentes?;2
Psicologia de o Desporto;2
Área de Psicologia de o Desporto;2
Medicina de o Universidade de o Minho;2
TUBRA;2
Direcção;2
Rede;2
Fête des Nations;2
RTP1;2
Direcção Geral de Ensino Superior;2
Liga;2
UMD;2
IPP;2
FDO e Feliz;2
Federação Portuguesa de Badminton;2
FPB;2
Vitoria S.C.;2
Selecção;2
Universidade sem Muros;2
Conselho Académico;2
Mestrado de Sistemas de Informação de o UMinho;2
IEP;2
Reitoria de o UM;2
Administrador de o Serviços de Acção Social;2
Pavilhão Desportivo;2
European Universities Association;2
Times;2
Orienta-te;2
Núcleos de Estudantes;2
Alumni medicina;2
Universitat Autònoma de Barcelona;2
Instituto de Estudos de o Criança;2
Qualidade e Segurança Alimentar;2
RVCC;2
Gestão Estratégica de o Universidade de o Minho;2
Desporto;2
Conselho de Acompanhamento;2
conselho Directivo;2
Secretário Executivo;2
Directora de o Instituto Confúcio;2
Fundação para o Computação Científica Nacional;2
Universidade Aberta;2
Webometrics Ranking of World Universities;2
Google Scholar;2
Associação de Estudantes de o Escola Superior de Enfermagem Calouste Gulbenkian?;2
Psicologia Desportiva;2
LPFP;2
CNU de Ar Livre;2
CNU de Pista Coberta;2
Norma ISO;2
Apoio Médico e Psicológico;2
Actividades Desportivas e Culturais;2
Departamento de Saídas Profissionais?;2
Fundação para Ciência e Tecnologia;2
Alojamento?;2
Grupo de Poesia e;2
ARCUM?;2
Associação Europeia de Estudantes de Direito;2
Sector de Bolsas;2
ED;2
Departamento Recreativo;2
Escola de Arquitectura;2
Escola de Arquitectura?;2
SB;2
Departamento de Saídas Profissionais e Empreendedorismo;2
Actividades Desportivas;2
Unidades Orgânicas de Ensino e Investigação;2
instituição;2
serviço para o Garantia de o Qualidade;2
Comissão de Acompanhamento;2
l iaç;2
Guimarães Capital Europeia de o Cultura 2012;2
FMI;2
SEG;2
IPCA;2
Licenciatura em Estudos Portugueses;2
Andebol Masculino;2
Restaurante Panorâmico?;2
Provedor de Estudante;2
BBC;2
Gestão de Desporto;2
*Clube?;2
Departamento Comercial de o Companhia de Eletricidade de Macau;2
Mestrado Integrado Engenharia;2
Microsoft Portugal;2
Grupo Aventura de o UM;2
Festival Internacional de Tunas Universitárias;1
Tuna de Ciências e Tecnologia de o Universidade Nova de Lisboa;1
Tuna Universitária de Aveiro;1
Tuna Peritos Malaga;1
Grupo de Jograis Universitários de o Minho;1
Ticketline;1
Associação Académica de o Universidade de Évora;1
Academia de o Força Aérea;1
AFA;1
Associação de Estudantes Instituto Superior de Contabilidade e Administração de Coimbra;1
@ComUM\artigo_100.md*;1
Conselho de;1
conselho geral;1
estudante de medicina;1
Estudantes de Medicina de o UMinho;1
Altice Fórum Braga;1
Associação Anti-bullying com Crianças e Jovens;1
Brain & Behavior Research Foundation;1
Instituto Neurospin;1
grupo I3B;1
Conselho Europeu de Investigação;1
Instituto de Investigação em Biomateriais;1
BioCHIPS;1
Sociedade Americana de Ergonomia;1
Sociedade Americana de Ergonomia e Fatores Humanos;1
Escolas de Engenharia;1
Ergonomics in Design;1
NASA;1
General Motors;1
Conselho de Ação Social de o Universidade de o Minho;1
Ação Social Escolar em o Ensino Superior;1
Núcleo de Estudantes de Medicina;1
Criminologia e Justiça Criminal;1
Ordem de o Psicólogos Portugueses;1
REJIES;1
Gabinete de Comunicação, Informação e Imagem de o UM;1
Optometria;1
@ComUM\artigo_117.md*;1
Proteção Civil e Gestão de o Território, Engenharia de Telecomunicações e Informática e Geologia;1
Plano Nacional de Alojamento para o Ensino Superior;1
Andy Student Living?;1
Andy;1
Mesa de Reunião Geral de Alunos;1
Start Point;1
Diretora de o Departamento de Relações Humanas;1
Departamento de Recursos Humanos;1
Associações Estudantis;1
alojamento;1
@ComUM\artigo_133.md*;1
LUSA;1
Escolas Médicas Portuguesas;1
Cuidados de Saúde para Profissionais de Saúde;1
Unidade de Saúde de o Alto Minho;1
Aliança de Pós-Graduações de o Universidade de o MInho;1
IPST;1
Departamento Social de o AAUMinho;1
IPO;1
Deucalion;1
PR;1
Educação Nacional;1
Governos Provisórios;1
Escola de Música de o Conservatório de Guimarães;1
Media Arts;1
Direção-Geral de o Artes;1
DJ@UM;1
SUCESSO;1
SKY;1
@ComUM\artigo_148.md*;1
Autoridade de o Condições de Trabalho;1
ACT;1
Unidades Orgânicas e Serviços;1
Licenciatura em Engenharia Aeroespacial;1
Serviços de Ação Social de o Academia Minhota;1
Presidente de o associação académica de o Universidade de o Minho;1
Escola de Arquitetura Arte e Design;1
Mesa de RGA;1
Revolut;1
@ComUM\artigo_165.md*;1
@ComUM\artigo_167.md*;1
Creepers;1
associação académica de o UMinho;1
Departamento Alimentar de o Serviços de Ação Social de o Universidade de o Minho;1
Banco Alimentar;1
World Wide Fund For Nature;1
WWF;1
Grupo de Poesia de o UMinho;1
@ComUM\artigo_173.md*;1
Escolas de Arquitetura,;1
Artes e Ciências Humanas e de Psicologia;1
Institutos de Ciências Sociais;1
Society Loving the Planet Minho;1
Gabinete de Sustentabilidade de o SASUM;1
Escola Secundária de o Taipas;1
Atepeli Ateliers;1
Groupe Leader;1
ECHE;1
Agência Nacional Erasmus+ Educação e Formação;1
Agência Nacional Juventude;1
Higher Education Student and Staff Mobility;1
Construção;1
CTAC;1
Universidade Europeia de Chipre;1
Associação para o Desenvolvimento Sustentável e Inovador em Economia;1
Ambiente e Sociedade;1
Centro de Estudos em Genocídio;1
Assuntos Estudantis e Inovação Pedagógica de o Universidade de o Minho;1
Dia Internacional de o Erradicação de o Pobreza;1
ProChild;1
