LOC;Oco
Caldas;2
Secundário;2
Foz de o Minho;2
Caminha;2
Suiça;2
Vale;2
Parque de o Cidade;2
Hith Parque;2
Pinhal de o Norte;2
Santo Tirso;2
Louvain;2
Comunicação Social;2
ciência Sociais;2
Tombali;2
Biblioteca;2
Complexo I;2
Mecânica;2
Conceição;2
Beira Alta;2
medicina;2
Porto de Leixões;2
Necho;2
Kosovo;2
Instituto Nacional de o Trabalho;2
Rua de S. Victor;2
Avenida Marchal Gomes de o Costa;2
Avenida 31 de janeiro;2
S.Victor;2
Guadalope;2
Póvoa;2
Instituto Superior de Engenharia;2
Advocacia;2
Libreville;2
Gabão;2
Matosinhos;2
Centro de computação;2
Camarões;2
Argentina;2
Beira Interior;2
Linhais de o Serra;2
Universidade Nova;2
Pinto Machado;2
Ciências Sociais e Economia;2
Politécnico de Viana de o Castelo;2
educação;2
Bouro;2
Terras de o Bouro;2
Cerqueira;2
Nogueira;2
Pavilhão de Física;2
Antigamanete;2
Centro de  Informática;2
D.PedroV;2
Cristina;2
Ciências Naturais;2
Leixões;2
Cascais;2
Lagos;2
IB-S;2
Toural;2
Sevilha;2
Desportivo Francisco de Holanda;2
São Miguel;2
Ilha;2
Gatódromo;2
Florença;2
Stª. Tecla;2
Setor de Higiene;2
Rampa B;2
Fundação AAUM;2
tesouraria;2
Campi de o UMinho;2
Campo de Práticas de Golfe;2
Campus de Guimarães;2
Setor de Alojamento;2
Diminuir;2
Residência Universitária Sta;2
Relações Internacionais;2
IDN;2
Zurique;2
Genebra;2
CECRI;2
Liftoff;2
Arquivo;2
Paredes;2
Escola de Ciências de o Saúde;2
Abade de Priscos;2
Setor de Apoio;2
SERVPSI;2
Setor;2
Harvard;2
Boston;2
Faturação;2
ABC;2
Museu Alberto Sampaio;2
Museu de o Imagem;2
Tuna Mista de o Universidade de o Minho;2
Setor de Bolsas de Estudo de o SASUM;2
Geografia e Planeamento;2
Ciências de o Terra;2
Informática Industrial;2
DTSI;2
taekwondo;2
Derby;2
LIFTOFF;2
Leça de o Palmeira;2
Indiana;2
Lavradeiras;2
Direção Geral de o Ensino Superior;2
Coreia de o Sul;2
Mestrado Integrado;2
Escolas de o Universidade de o Minho;2
Atlântico;2
Minhoto;2
Instalações;2
Campo de Práticas de Golfe de Azurém;2
de o Norte;2
Castro;2
Residência;2
Miguel Alves;2
Timor-Leste;2
Vale de o Ave;2
Tribunal de contas;2
1ª Nacional;2
Montenegro;2
Mercado Municipal;2
Conselho Municipal de Educação;2
Freguesias;2
Autarquia;2
FAM;2
Barriga;2
Direção Geral de o Orçamento;2
Lídia Parente;2
Marketing;2
América Latina;2
Benfica;2
Amesterdão;2
Vénus;2
Canário;2
Departamentos;2
de o norte;2
Línguas;2
São Bernardo;2
Berço de o Nação;2
Capital Verde;2
Património Mundial;2
Estado Central;2
Câmaras;2
Parque de Ciência e Tecnologia;2
Grécia;2
Fundação Pública;2
Gabinete de Carreiras;2
Grandes Empresas de o Setor Público;2
Vice-presidente de o Município;2
Câmaras Municipais;2
Ecovia de Guimarães;2
Parque de o Juventude;2
USA;2
MIETI;2
Budapeste;2
Biblioteca de Azurém;2
Centro Multimédia;2
Centro de Medicina P5;2
Microssistemas Eletromecânicos;2
Centro de Investigação;2
democratização;2
Cidade de o Futebol;2
CAR;2
Tesouraria;2
ES;2
Ministro de o ciência;2
Rua D. Pedro V;2
Escola Doutoral;2
TERM;2
Centro de Valorização de Resíduos;2
Noruega;2
José Mendes;2
terra;2
Complexo Desportivo de Azurém;2
Próreitoria;2
Instituto de Ciências Sociais de o Universidade de o Minho;2
